planning_area,subzone,poi_dimension,review_count,avg_review_rating,noise_positive_mentions,noise_negative_mentions,crowding_positive_mentions,crowding_negative_mentions,cleanliness_positive_mentions,cleanliness_negative_mentions,safety_positive_mentions,safety_negative_mentions,convenience_positive_mentions,convenience_negative_mentions,price_positive_mentions,price_negative_mentions,representative_reviews,noise_net_mentions,crowding_net_mentions,cleanliness_net_mentions,safety_net_mentions,convenience_net_mentions,price_net_mentions
Boon Lay,Samulun,recreation,10,4.2,0,0,0,1,2,0,0,0,3,0,1,0,"New Revamped Jurong East Swimming Complex with Lazy and waterplay areas for the kids. Hv a good wave generation pool which operates every hour.A bit sad that the water slides has b... || Fun time with kiddos. The toilets are great with large cubicles and compartments to hang your dry clothes. Definitely a comeback for my family. || Although I must say that I missed the huge slides that my generation grew up with. But it is a nice transitional change to me being a Dad now, bringing my little kiddos in what is ...",0,-1,2,0,3,1
Boon Lay,Samulun,nature,20,4.9,14,0,0,1,0,0,0,0,0,0,0,0,"Sungei Buloh Wetland Reserve is one of the best places in Singapore to experience nature in its most authentic form. From the moment I entered via the Neo Tiew Crescent entrance, I... || A refreshing escape into nature! We enjoyed a slow and peaceful walk at Sungei Buloh Wetland Reserve on May 27, fully immersed in the calm beauty of the wetlands. The walking paths... || A beautiful and peaceful escape into nature! The mangroves, fresh air, and rich wildlife make every walk feel special. Perfect for a relaxing stroll or bird watching—especially in ...",14,-1,0,0,0,0
Boon Lay,Shipyard,education,15,4.933,0,0,1,0,1,0,2,0,0,0,0,0,"Our child transferred from China to K2 at Raffles Kidz Pres. Thanks to all teachers’ patient care, especially Chinese teacher Wen, he adapted fast and enjoys school life now. We ar... || Our son has been in school for 1.5yrs since he was 18mo. During transition from PN to Nursery was when we were given feedback on his development, and at which point we considered c... || The teachers are always so welcoming during drop-off and pick-up which gives parents great peace of mind. We transferred our son here and it has definitely been the right choice. T...",0,1,1,2,0,0
Boon Lay,Shipyard,transport,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Boon Lay,Shipyard,food,13,4.0,0,0,0,0,1,0,0,0,0,0,1,0,"Did not expect that this hawker center is so clean! We are really impressed by their cleanliness ! We ordered Malay food, Nasi Padang. Very delicious! If we were to order these muc... || 13/November/2025 Had mixed rice for brunch ($4.60), was normal. Lots of stalls to choose from, I'll be back. Limited parking lots available. || The Hong Kong roast duck is very nice.",0,0,1,0,0,1
Boon Lay,Shipyard,shopping,15,3.867,1,1,0,0,0,0,0,0,0,0,1,1,"well stocked withcgreat produce and daily essential wode aisle, brightly lighted. very easy to shop st this supermarket. we got what we want. bought some prawns, vegetable, milk, s... || The staff and manager was very very kind and helpful when I bought an offer of 10 dollar for a glass bottle of oil. Unfortunately when my cart was too full, the additional oil I ha... || Sheng Siong is definitely my go to supermarket as most of their items are reasonably priced and are in my opinion cheaper than FairPrice. Vegetables and home brand ready to eat pro...",0,0,0,0,0,0
Boon Lay,Shipyard,recreation,13,4.308,0,0,2,1,2,1,0,0,0,0,0,0,"The Jurong West ActiveSG was very Beautiful specially when it is Night time... It is very helpful for people of all ages specially the Older & Kids to do various kinds of Workout &... || Usually go there for table tennis. Only Table 2, 3 and 4 are good for match play. Other tables have smaller spacing and suitable only for training. || ⭐️⭐️⭐️⭐️⭐️ Jurong West Swimming Complex — Hidden Gem Alert Best Sunday experience, hands down. Not crazy crowded, which is a rare win in Singapore. The lap pool is bliss—can actual...",0,1,1,0,0,0
Boon Lay,Shipyard,nature,12,4.417,4,0,0,0,0,2,0,0,1,0,1,0,"A beautiful, relaxing and vibrant place for walks, for taking a step back from the hectic pace. Spending 3 hours walking and appreciating the fresh air, the manicured gardens, the ... || Definitely one of the nicest and must go to parks in Singapore if you are alone, couples, families group of friends wanting to escape from the concrete jungle of the city. Jurong u... || NParks really did a good job in revamping this park. There's plenty of interesting plants and wildlife to spot. Took me and my friends 3 hours to casually explore the entire area. ...",4,0,-2,0,1,1
Boon Lay,Tukang,education,15,4.733,0,0,0,0,0,0,1,0,0,0,0,0,"As a student pursuing a course in mechanical and electrical engineering at BMC International College, I had a stellar experience. The faculty and staff were extremely supportive an... || Made payments on 12 feb to retrieve back diploma and transcript certificate. They told me they will take 7 days upon payment. 13 march (ONE MONTH AFTER), i prompted again after sev... || Amazing place to study for diploma, advanced diploma and higher studies as well. I was a student of diploma and the course was extremely well coordinated by Miss Annalyn and the su...",0,0,0,1,0,0
Boon Lay,Tukang,transport,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Very much,0,0,0,0,0,0
Boon Lay,Tukang,food,12,2.167,0,0,0,1,0,0,0,0,0,0,0,1,"I’ve been a regular customer at the drink stall and generally enjoy the drinks, but I wanted to share some feedback about the service. I’ve noticed a difference in how customers ar... || The food here is generally expensive, especially at the mixed-rice stall where staff are often unsure of dish prices and attitude not good, and the displayed price list appears unr... || Very disappointing experience at the drink stall in Innovation Groove Food Court. I ordered an ice lemon tea, but the staff responded with a confused “huh” and seemed unable to und...",0,-1,0,0,0,-1
Boon Lay,Tukang,shopping,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,Thai products minimart.,0,0,0,0,0,0
Boon Lay,Tukang,recreation,6,5.0,0,0,0,0,1,0,1,0,0,0,0,0,"Decided to go to BFT Taman Jurong for a trial because I was contemplating on switching gyms for convenience sake with regards to distance from home and my work schedule. The coache... || I’d give this place 10 🌟 if i could!!! Even after a long day at work, I still look forward to coming to the gym because I somehow always leave feeling more energized afterwards. Th... || Really glad I signed up for this! It’s the first place that makes exercising such a sustainable routine for me and I think it’s largely due to the fun and interesting workouts and ...",0,0,1,1,0,0
Boon Lay,Tukang,nature,20,4.0,6,1,0,0,2,0,0,1,6,0,1,1,"Supposely to be a ""NO SMOKING"" zone at this park. But we came across smokers (especially students and teenagers) smoking around the Futsal and BBQ area. Nearby NPP police should pa... || Taman Jurong Greens is located in Taman Jurong and is one of Singapore's oldest residential areas. Now, other than HD. || My kids love to play the playground. And for those who love jogging that is a best place if u have a kids",5,0,2,-1,6,0
